Id Inscripció,Nom,Nom Lliga,Territorial de la competició,Entitat,Territorial del club,Estat,Codi Lliga,Data Pagament Albara,Data Introducció,Accés a les fases,Is Impresa?,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions,Grups,Email
216706,"Institut Anna Gironella de Mundet ""A""",VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,,Institut Anna Gironella de Mundet,Genèrica,Preinscrita,,,2025-10-06,,0,Nivell A,Fora,VOLEIBOL,JUVENIL,MIXT,Dissabte,09:00 h,,,JORDIMARCOL@HOTMAIL.COM
216705,"CEBN (AMPA Maristes Champagnat) ""C""",FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,,CEBN (AMPA Maristes Champagnat),Genèrica,Preinscrita,,,2025-10-06,,0,Nivell A,Indiferent,FUTBOL 5,JUVENIL,MIXT,Dissabte,12:00 h,,,carlotafg7@gmail.com
216704,"CEBN (AMPA Maristes Champagnat) ""Vermell""",FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,,CEBN (AMPA Maristes Champagnat),Genèrica,Preinscrita,,,2025-10-06,,0,Nivell E,Indiferent,FUTBOL 5,JUVENIL,MIXT,Divendres,21:00 h,,,carlotafg7@gmail.com
216703,"Institut Anna Gironella de Mundet ""A""",VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,,Institut Anna Gironella de Mundet,Genèrica,Preinscrita,,,2025-10-06,,0,Nivell C,Casa,VOLEIBOL,JUVENIL,FEMENI,Dissabte,09:00 h,,,JORDIMARCOL@HOTMAIL.COM
216688,"CEBN (CE Montigalà) ""F""",BÀSQUET LLIGA JOVE MIXT 1ª FASE CEEB,,CEBN (CE Montigalà),Genèrica,Facturada,,,2025-10-06,,1,Nivell E,Indiferent,BÀSQUET,SÈNIOR,MIXT,Dissabte,12:45 h,,,juan.criado.culebras@gmail.com
216686,"Institut Anna Gironella de Mundet ""A""",VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,,Institut Anna Gironella de Mundet,Genèrica,Preinscrita,,,2025-10-06,,0,Nivell C,Fora,VOLEIBOL,CADET,FEMENI,Divendres,18:00 h,,,JORDIMARCOL@HOTMAIL.COM
216685,"CEBN (Escola Josep Carner) ""Verd""",FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,,CEBN (Escola Josep Carner),Genèrica,Facturada,,,2025-10-06,,1,Nivell D,Indiferent,FUTBOL 5,JUVENIL,MIXT,Dissabte,11:00 h,,,nereabolivarcapilla@gmail.com
216684,"Institut Anna Gironella de Mundet ""A""",VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,,Institut Anna Gironella de Mundet,Genèrica,Preinscrita,,,2025-10-06,,0,Nivell C,Casa,VOLEIBOL,INFANTIL,FEMENI,Divendres,18:00 h,,,JORDIMARCOL@HOTMAIL.COM
216683,"CELH (Club Juvenil Balandrau) ""A""",FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,,CELH (Club Juvenil Balandrau),Genèrica,Facturada,,,2025-10-06,,1,Nivell C,,FUTBOL 5,JUVENIL,MIXT,Dissabte,10:30 h,,,alex.garciam72@gmail.com
216682,"CELH (Club Escola Futbol Sala Tecla Sala) ""A""",FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,,CELH (Club Escola Futbol Sala Tecla Sala),Genèrica,Facturada,,,2025-10-06,,1,Nivell C,,FUTBOL 5,JUVENIL,MIXT,Dissabte,13:00 h,,,teclafutsal@gmail.com
216681,"CELH (CE Joventut L'Hospitalet) ""A""",BÀSQUET CADET FEMENÍ 1ª FASE CEEB,,CELH (CE Joventut L'Hospitalet),Genèrica,Facturada,,,2025-10-06,,1,Nivell E,5,BÀSQUET,CADET,FEMENÍ,Dissabte,09:00 h,,,xsaf98@gmail.com
216680,"CELH (CE Joventut L'Hospitalet) ""A""",BÀSQUET INFANTIL MIXT 1ª FASE CEEB,,CELH (CE Joventut L'Hospitalet),Genèrica,Facturada,,,2025-10-06,,1,Nivell D,5,BÀSQUET,INFANTIL,MIXT,Dissabte,10:30 h,,,xsaf98@gmail.com
216677,"CELH (AE Bellsport) ""A""",BÀSQUET INFANTIL MIXT 1ª FASE CEEB,,CELH (AE Bellsport),Genèrica,Facturada,,,2025-10-06,,1,Nivell D,Fora,BÀSQUET,INFANTIL,MIXT,Dissabte,11:00 h,,,areadeportivaaeb@aebellsport.com
216658,"CEBN (CHP Sant Josep Badalona) ""H""",HOQUEI PATINS ALEVÍ MIXT 1ª FASE CEEB,,CEBN (CHP Sant Josep Badalona),Genèrica,Facturada,,,2025-10-06,,1,Nivell C,Indiferent,HOQUEI PATINS,ALEVÍ,MIXT,Dissabte,09:00 h,,,marcramirezcamps@gmail.com
216648,"Escola Betania-Patmos Fundació ""A""",BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,,Escola Betania-Patmos Fundació,Genèrica,Tramitada,,2025-10-06,2025-10-06,,1,Nivell D,7,BÀSQUET,PREBENJAMÍ,MIXT,Divendres,18:00 h,,,svazquez@betania-patmos.org
216644,"Club Futbol Sala Montsant ""B""",FUTBOL 5 INFANTIL FEMENÍ 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell D,Fora,FUTBOL 5,INFANTIL,FEMENÍ,Divendres,19:00 h,,,Coordinacionfsmontsant@gmail.com
216643,"Club Futbol Sala Montsant ""A""",FUTBOL 5 INFANTIL FEMENÍ 1ª FASE CEEB,,Club Futbol Sala Montsant,Genèrica,Facturada,,,2025-10-06,,1,Nivell B,Casa,FUTBOL 5,INFANTIL,FEMENÍ,Divendres,18:00 h,,,Coordinacionfsmontsant@gmail.com
